,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
mu[146],5.28798,0.00190426,0.0960172,0.0965557,5.13513,5.2874,5.44504,2647.56,2008.11,1345.99,1.00195
mu[147],4.25936,0.000753526,0.0399234,0.0387268,4.19762,4.25736,4.32829,2859.4,2621.85,1453.69,1.00092
mu[148],4.72413,0.000918839,0.0496431,0.0467361,4.63388,4.72899,4.7968,2866.81,2649.34,1457.45,1.00027
mu[149],5.28798,0.00190426,0.0960172,0.0965557,5.13513,5.2874,5.44504,2647.56,2008.11,1345.99,1.00195
mu[150],4.74064,0.000753526,0.0399234,0.0387268,4.67171,4.74264,4.80238,2859.4,2621.85,1453.69,1.00092
mu[151],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[152],5.27147,0.00195039,0.0996522,0.100201,5.10893,5.27169,5.43268,2705.46,2205.97,1375.43,1.00212
mu[153],4.1768,0.00106474,0.0542432,0.0511373,4.07641,4.18433,4.25256,2566.56,2537.41,1304.81,1.00025
log_lik[1],-0.544127,0.00112778,0.0545981,0.0560188,-0.636939,-0.544089,-0.456804,2414.34,2266.43,1227.42,1.00085
log_lik[2],-0.655415,0.00206686,0.0982988,0.0955318,-0.834324,-0.645595,-0.509484,2505.62,1985.14,1273.83,1.00084
log_lik[3],-2.25659,0.00341894,0.175739,0.175002,-2.55616,-2.24784,-1.99248,2589.6,2276.66,1316.52,1.00212
log_lik[4],-0.57836,0.00110991,0.0557361,0.0568021,-0.672966,-0.577808,-0.48973,2653.88,2132.56,1349.2,1.00151
log_lik[5],-1.19804,0.00121421,0.0602958,0.0602339,-1.30191,-1.19582,-1.10617,2606.99,1861.67,1325.37,1.00153
log_lik[6],-0.628272,0.00181623,0.087223,0.0838523,-0.780666,-0.622439,-0.496026,2532.07,1892.83,1287.28,1.00141
log_lik[7],-2.12112,0.00400775,0.206109,0.202163,-2.46061,-2.11833,-1.77683,2672.0,2613.82,1358.41,0.999957
log_lik[8],-1.04791,0.00294862,0.149948,0.146438,-1.30987,-1.03756,-0.823351,2540.32,1938.89,1291.47,1.00123
log_lik[9],-1.29169,0.00215113,0.107294,0.0967824,-1.4872,-1.27299,-1.14756,2561.26,2684.69,1302.11,1.00027
log_lik[10],-2.54501,0.00680873,0.333542,0.332293,-3.12501,-2.52932,-2.04916,2585.34,2052.07,1314.36,1.00181
log_lik[11],-0.628272,0.00181623,0.087223,0.0838523,-0.780666,-0.622439,-0.496026,2532.07,1892.83,1287.28,1.00141
log_lik[12],-1.29169,0.00215113,0.107294,0.0967824,-1.4872,-1.27299,-1.14756,2561.26,2684.69,1302.11,1.00027
log_lik[13],-1.1297,0.00327363,0.170088,0.167443,-1.42637,-1.11737,-0.876656,2764.52,2290.24,1405.45,1.00164
log_lik[14],-0.559126,0.00108644,0.0531685,0.0545404,-0.648802,-0.558832,-0.474177,2497.49,2011.01,1269.7,1.00122
log_lik[15],-1.11391,0.00153051,0.083493,0.0814976,-1.24423,-1.11733,-0.969523,3023.18,2974.06,1536.95,1.0008
log_lik[16],-0.628272,0.00181623,0.087223,0.0838523,-0.780666,-0.622439,-0.496026,2532.07,1892.83,1287.28,1.00141
log_lik[17],-0.57836,0.00110991,0.0557361,0.0568021,-0.672966,-0.577808,-0.48973,2653.88,2132.56,1349.2,1.00151
log_lik[18],-0.559126,0.00108644,0.0531685,0.0545404,-0.648802,-0.558832,-0.474177,2497.49,2011.01,1269.7,1.00122
log_lik[19],-1.25941,0.00172606,0.0851095,0.0814017,-1.41116,-1.24924,-1.13751,2620.63,2776.36,1332.3,1.0003
