,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[12],-1.22147,0.00116905,0.0579928,0.0586735,-1.31817,-1.22205,-1.12673,2502.97,2416.34,1393.64,1.00175
log_lik[13],-1.34599,0.00141413,0.0773271,0.0756632,-1.48163,-1.34155,-1.22941,3047.58,3367.06,1696.87,1.001
log_lik[14],-2.7454,0.00361287,0.18018,0.182945,-3.06265,-2.73401,-2.47442,2364.48,1858.99,1316.52,1.00086
log_lik[15],-1.39581,0.000804435,0.04382,0.0430686,-1.46759,-1.39666,-1.32284,2995.05,2721.71,1667.62,1.00088
log_lik[16],-1.49126,0.00116426,0.0578013,0.0564784,-1.57185,-1.49953,-1.38484,2192.64,2197.13,1220.84,1.00052
log_lik[17],-1.27191,0.00141985,0.0668709,0.0679414,-1.3837,-1.27089,-1.1621,2249.22,1884.6,1252.35,1.00119
log_lik[18],-1.77448,0.00135253,0.0805736,0.0807829,-1.92138,-1.76842,-1.65405,3449.22,2870.65,1920.5,1.00056
log_lik[19],-1.24423,0.00111275,0.0557928,0.0586514,-1.33673,-1.2435,-1.15303,2552.14,2211.36,1421.01,1.00201
log_lik[20],-1.22147,0.00116905,0.0579928,0.0586735,-1.31817,-1.22205,-1.12673,2502.97,2416.34,1393.64,1.00175
log_lik[21],-2.21287,0.00123817,0.0645247,0.0653093,-2.32847,-2.2084,-2.11801,2638.23,2566.46,1468.95,1.00206
log_lik[22],-3.32999,0.00493958,0.248766,0.252182,-3.75966,-3.31319,-2.95188,2528.34,2378.2,1407.76,1.00113
log_lik[23],-1.60935,0.000793646,0.0456951,0.0429898,-1.69249,-1.60315,-1.54571,3154.9,2879.03,1756.63,1.0002
log_lik[24],-1.60935,0.000793646,0.0456951,0.0429898,-1.69249,-1.60315,-1.54571,3154.9,2879.03,1756.63,1.0002
log_lik[25],-1.22147,0.00116905,0.0579928,0.0586735,-1.31817,-1.22205,-1.12673,2502.97,2416.34,1393.64,1.00175
log_lik[26],-2.06879,0.0025645,0.12382,0.118875,-2.28281,-2.05856,-1.88345,2415.14,2666.53,1344.73,1.00036
log_lik[27],-1.22147,0.00116905,0.0579928,0.0586735,-1.31817,-1.22205,-1.12673,2502.97,2416.34,1393.64,1.00175
log_lik[28],-1.21334,0.00117806,0.0584456,0.0589664,-1.31156,-1.21455,-1.11786,2505.79,2252.42,1395.21,1.00154
log_lik[29],-1.33699,0.0012065,0.0580458,0.0598721,-1.43131,-1.3368,-1.24145,2314.01,2026.68,1288.43,1.00096
log_lik[30],-1.30472,0.00129618,0.0672083,0.0654815,-1.41762,-1.30164,-1.2014,2722.69,2796.47,1515.97,1.00163
log_lik[31],-2.3742,0.00252148,0.123695,0.121295,-2.57919,-2.37351,-2.16978,2410.27,3008.29,1342.02,1.00071
log_lik[32],-1.23308,0.00112243,0.0562456,0.0586138,-1.32503,-1.23251,-1.14011,2543.7,2340.51,1416.32,1.00176
log_lik[33],-1.22732,0.00120008,0.0595141,0.0594865,-1.32711,-1.22698,-1.13048,2511.79,2362.87,1398.55,1.00157
log_lik[34],-1.80132,0.00256564,0.124935,0.128545,-2.01043,-1.80173,-1.59855,2391.14,1823.85,1331.37,1.00008
log_lik[35],-1.3098,0.00109164,0.0568192,0.0582535,-1.40395,-1.31042,-1.21753,2725.75,2380.81,1517.68,1.00098
log_lik[36],-1.2472,0.00124195,0.0621692,0.0627403,-1.34941,-1.24595,-1.14552,2569.51,2329.18,1430.69,1.00121
log_lik[37],-2.06879,0.0025645,0.12382,0.118875,-2.28281,-2.05856,-1.88345,2415.14,2666.53,1344.73,1.00036
log_lik[38],-1.23308,0.00112243,0.0562456,0.0586138,-1.32503,-1.23251,-1.14011,2543.7,2340.51,1416.32,1.00176
log_lik[39],-1.33699,0.0012065,0.0580458,0.0598721,-1.43131,-1.3368,-1.24145,2314.01,2026.68,1288.43,1.00096
log_lik[40],-2.21287,0.00123817,0.0645247,0.0653093,-2.32847,-2.2084,-2.11801,2638.23,2566.46,1468.95,1.00206
log_lik[41],-1.29831,0.00109641,0.0582907,0.0593583,-1.39484,-1.29886,-1.20509,2886.07,2591.4,1606.94,1.00091
log_lik[42],-1.33082,0.00134303,0.0717924,0.0714744,-1.45611,-1.32639,-1.22186,2903.25,2987.69,1616.51,1.00165
log_lik[43],-1.39581,0.000804435,0.04382,0.0430686,-1.46759,-1.39666,-1.32284,2995.05,2721.71,1667.62,1.00088
log_lik[44],-1.26102,0.00114796,0.0578226,0.0589448,-1.35792,-1.26004,-1.1676,2586.88,2415.02,1440.35,1.00178
log_lik[45],-1.36982,0.00152485,0.0707856,0.0706098,-1.49148,-1.36677,-1.25855,2216.03,2329.29,1233.87,1.00066
log_lik[46],-1.65856,0.00179032,0.0864513,0.084427,-1.80423,-1.65754,-1.52102,2317.97,2663.9,1290.63,1.00015
log_lik[47],-1.30472,0.00129618,0.0672083,0.0654815,-1.41762,-1.30164,-1.2014,2722.69,2796.47,1515.97,1.00163
log_lik[48],-1.34599,0.00141413,0.0773271,0.0756632,-1.48163,-1.34155,-1.22941,3047.58,3367.06,1696.87,1.001
log_lik[49],-1.47447,0.00112278,0.0541784,0.0525702,-1.57318,-1.46956,-1.39383,2354.82,2810.83,1311.15,1.00047
log_lik[50],-1.99198,0.00179403,0.0903806,0.0930962,-2.14154,-1.99254,-1.84308,2561.03,2068.09,1425.96,1.00057
log_lik[51],-1.34599,0.00141413,0.0773271,0.0756632,-1.48163,-1.34155,-1.22941,3047.58,3367.06,1696.87,1.001
log_lik[52],-3.43117,0.00447967,0.230774,0.231459,-3.82672,-3.41974,-3.06872,2628.0,2653.96,1463.25,1.00162
log_lik[53],-1.47447,0.00112278,0.0541784,0.0525702,-1.57318,-1.46956,-1.39383,2354.82,2810.83,1311.15,1.00047
log_lik[54],-1.29831,0.00109641,0.0582907,0.0593583,-1.39484,-1.29886,-1.20509,2886.07,2591.4,1606.94,1.00091
log_lik[55],-6.76292,0.0130815,0.671793,0.690266,-7.93032,-6.74139,-5.73747,2610.99,2512.9,1453.78,1.00186
log_lik[56],-1.27191,0.00141985,0.0668709,0.0679414,-1.3837,-1.27089,-1.1621,2249.22,1884.6,1252.35,1.00119
log_lik[57],-1.26102,0.00114796,0.0578226,0.0589448,-1.35792,-1.26004,-1.1676,2586.88,2415.02,1440.35,1.00178
log_lik[58],-1.27153,0.00120226,0.0612661,0.0622862,-1.3754,-1.27027,-1.17324,2670.48,2725.29,1486.91,1.00239
log_lik[59],-2.7454,0.00361287,0.18018,0.182945,-3.06265,-2.73401,-2.47442,2364.48,1858.99,1316.52,1.00086
log_lik[60],-1.89976,0.00281617,0.142791,0.144042,-2.15717,-1.88503,-1.69115,2311.21,1868.92,1286.87,1.00024
log_lik[61],-2.85016,0.00342381,0.189289,0.194038,-3.17873,-2.83565,-2.56465,2999.79,2672.84,1670.26,1.00094
log_lik[62],-3.68578,0.00465376,0.244107,0.250863,-4.11142,-3.67051,-3.32016,2668.92,2251.41,1486.04,1.00126
log_lik[63],-2.21287,0.00123817,0.0645247,0.0653093,-2.32847,-2.2084,-2.11801,2638.23,2566.46,1468.95,1.00206
log_lik[64],-3.75295,0.00519888,0.274448,0.273856,-4.24,-3.72977,-3.35117,2680.71,2312.77,1492.6,1.00106
log_lik[65],-1.24423,0.00111275,0.0557928,0.0586514,-1.33673,-1.2435,-1.15303,2552.14,2211.36,1421.01,1.00201
log_lik[66],-2.06879,0.0025645,0.12382,0.118875,-2.28281,-2.05856,-1.88345,2415.14,2666.53,1344.73,1.00036
log_lik[67],-3.09402,0.00401581,0.216078,0.220669,-3.46043,-3.08969,-2.75622,2874.41,2732.1,1600.45,1.00156
log_lik[68],-1.7137,0.00141005,0.0713975,0.0710536,-1.83765,-1.70716,-1.60538,2370.53,1882.36,1319.89,1.00009
log_lik[69],-2.6093,0.00249554,0.147007,0.140405,-2.87602,-2.59138,-2.39691,3413.65,2834.28,1900.69,1.00052
log_lik[70],-1.37966,0.000925264,0.0506196,0.0494705,-1.46015,-1.38251,-1.29278,2967.65,2646.7,1652.37,1.00068
log_lik[71],-3.20919,0.00415246,0.212733,0.21427,-3.57206,-3.20303,-2.88441,2616.06,2585.29,1456.6,1.00156
log_lik[72],-1.80698,0.00153725,0.096461,0.094655,-1.98641,-1.79809,-1.6669,3762.8,3014.74,2095.1,1.00177
log_lik[73],-1.30472,0.00129618,0.0672083,0.0654815,-1.41762,-1.30164,-1.2014,2722.69,2796.47,1515.97,1.00163
log_lik[74],-1.27191,0.00141985,0.0668709,0.0679414,-1.3837,-1.27089,-1.1621,2249.22,1884.6,1252.35,1.00119
